DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
Incorrect spelling,Correct spelling,(initials)
1/2,HALF,MWE
10,10TH,BC
10 TH,10TH,PAT
10TH SE,10TH,RRR
10THST,10TH,BC
11,11TH,NHC
11 TH,11TH,LWG
11ST,11TH,BXW
11TH ST AP,11TH,BC
11THST,11TH,ANW
12,12TH,BXW
12 TH,12TH,BC
12ST,12TH,BC
12TGH,12TH,RRR
12THST,12TH,BC
13,13TH,BXW
13 TH,13TH,ANW
13HT,13TH,BC
13RD,13TH,BC
13TGH,13TH,BXW
13TH PI,13TH,BC
13TH SREET,13TH,JF
13TH ST B,13TH,BC
13TH ST REET,13TH,BC
13TH ST SEE,13TH,BC
13TH STS,13TH,BC
13THPL,13TH,ANW
13THST,13TH,ANW
13TTHPL,13TH,ANW
14,14TH,BXW
14 TH,14TH,ANW
14ST,14TH,BC
14T,14TH,BC
14TH PLAC,14TH,BC
14TH ST AP,14TH,BC
14THPL,14TH,ANW
14THST,14TH,BC
14TTH,14TH,BXW
15,15TH,ANW
15 TH,15TH,BC
15T,15TH,NHC
15TH ST 2B,15TH,BC
15THST,15TH,BC
16,16TH,BXW
16 TH,16TH,BC
16H,16TH,ANW
16H S,16TH,BXW
16ST,16TH,BC
16STST,16TH,ANW
16T,17TH,LWG
16TH ST AP,16TH,BC
16THST,16TH,BC
17,17TH,BXW
17ST,17TH,RRR
17THST,17TH,BC
17YH,17TH,BC
18,18TH,BXW
18 TH,18TH,ANW
18THST,18TH,ANW
19,19TH,PAT
19ST,19TH,BC
1NDEPENDNCE,INDEPENDENCE,BC
1STST,1ST,BC
1TH,1ST,BXW
20,20TH,BC
20 TH,20TH,ANW
20THM,20TH,BC
21,21ST,BXW
21RST,21ST,BXW
21ST ST N,21ST,BC
21TH,21ST,BC
22,22ND,PAT
22END,22ND,BXW
23,23RD,ANW
23TH,23RD,EHG
24,24TH,RRR
24ND,24TH,BC
25,25TH,BXW
25TH ST SE,25TH,ANW
29,29TH,PAT
29TH 29TH,29TH,ANW
2ND ST AP,2ND,BC
2ND STRRET,2ND,BC
2NS,2ND,BC
2ST,2ND,BC
3 RD,3RD,BC
30 TH,30TH,ANW
31,31ST,JF
31ST ST AE,31ST,ANW
31TH,31ST,EHG
32,32ND,BXW
32ST,32ND,BC
32TH,32ND,BXW
33ND,33RD,LWG
34 TH,34TH,PAT
35,35TH,RRR
36,36TH,BXW
37,37TH,PAT
37TH PLACESE,37TH,ANW
37THTH,37TH,BC
3OTH,30TH,ANW
3R,3RD,BC
3RD ST SW,3RD,BC
3RD STTEET,3RD,BC
3RDE,3RD,ANW
3RDST,3RD,BC
3TH,3RD,ANW
4 TH,4TH,BC
4 THST,4TH,BC
41,41ST,BC
41T,T,BC
41TH,41ST,BC
42,42ND,PAT
42 ND,42ND,BC
42RD,42ND,BXW
42ST,42ND,PAT
43,43RD,PAT
